Sr. No.,Component Name,EndPoint,Deployed Date,Deployed by,Version,Branch Name,RleaseNotes URL
1,c2c-resilience-service-api-service,ac0762e7f4eb946f9bccc9b233c1d9f5-501873270.us-west-1.elb.amazonaws.com:8080/swagger-ui.html,,,,,
2,c2c-command-control-api-service,a3a3686e4cdd24f4d842aecfd52bafbd-30338139.us-west-1.elb.amazonaws.com:8080/swagger-ui.html,,,,,
3,c2c-commcore-c2drequest-api-service,a411a4294788a465dbc7b351c24f864b-481415416.us-west-1.elb.amazonaws.com:8080/swagger-ui.html,,,,,
4,c2c-commcore-routeconfig-api,a68b17dece6404563b9d5fcb5ca49168-527967376.us-west-1.elb.amazonaws.com:8080/swagger-ui.html, , , , ,
5,c2c-device-operations-api,a81263c95462a44c4a4ad9f0b559084d-373719963.us-west-1.elb.amazonaws.com:8080/swagger-ui.html, , , , ,
6,c2c-dm-chipset-api,a85d2fad9be304126ba085a4eafff85b-285137195.us-west-1.elb.amazonaws.com:8080/swagger-ui.html, , , , ,
7,c2c_dm_deviceprovisioningservice,a39e6996f20834f8ba17d7c24442549d-384368550.us-west-1.elb.amazonaws.com:8080/device-provisioning-service/v1/swagger-ui.html, , , , ,
8,c2c-dm-deviceregistrationservice-regional,a16ba121ff6e2434ba36e7c9a8377a48-1600952958.us-west-1.elb.amazonaws.com:8080/device-registration-service/v1/swagger-ui.html, , , , ,
9,c2c_license_management_c_api,a17ca2600073a4f63aa67f55113b2c12-414553068.us-west-1.elb.amazonaws.com:8080/lmsc/swagger-ui, , , , ,
10,c2c_license_management_q_api,a4b06a2da52614f82aecd98659ec6b3c-412551018.us-west-1.elb.amazonaws.com:8080/lmsq/swagger-ui, , , , ,
11,smp_adapter_api,af5d8a89d54be40eda043a88ac16ee21-2071238647.us-west-1.elb.amazonaws.com:8080/swagger-ui.html, , , , ,
12,c2c_service_management_api,a1001ecdff00d4a7aa1dd7e4b8185d68-1754366172.us-west-1.elb.amazonaws.com:8080/smp-server/swagger-ui/, , , , ,
13,c2c_dm_devicerequestprocessor,a0efa7c63bab94b3781bf3fe48fcbdab-118077205.us-west-1.elb.amazonaws.com/device-request-processor/v1/swagger-ui.html, , , , ,
14,c2c-service-management-request-api, afa64bef225934a79a478534eb0bd6e5-1047981283.us-west-1.elb.amazonaws.com:8080/smp-request-api/swagger-ui.html, , , , ,
15,c2c-ota-service-api,aa9e38e2ed698426883e3a2b3a67e81d-1008600968.us-west-1.elb.amazonaws.com:8080/swagger-ui.html, , , , ,
16,c2c_vehicle_operations_api,a238d1c59725349dbb774b522ec73d47-176019081.us-west-1.elb.amazonaws.com:8080/swagger-ui.html, , , , ,
17,c2c_dm_developer_dashboard,http://abfe872c83d7c4bf5a61b06a4d49840a-1463044954.us-west-1.elb.amazonaws.com:8080/developer-dashboard,14th Dec 2021 , Abdul , , release_sprint12_1.0, 
18,c2c_service_management_api,http://a1001ecdff00d4a7aa1dd7e4b8185d68-1754366172.us-west-1.elb.amazonaws.com:8080/smp-server/swagger-ui, , , , , 
19,c2c_service_management_ui,http://a2a4df7d99a72421fb14c4f69e08d3b7-1681147666.us-west-1.elb.amazonaws.com:8080/, , , , , 
,,,,,,,
,,,,,,,
,,,,,,,
20,IoT Core Endpoint,avyq8mqx1md7m-ats.iot.us-west-1.amazonaws.com,,,,,
21,API Gateway,http://a68b17dece6404563b9d5fcb5ca49168-527,,,,,
,,,,,,,
,,,,,,,
22,Postgres DB,c2c-wus-dev-reg-dm-rds-database-psql.cleveog6mrob.us-west-1.rds.amazonaws.com:5432,,,,,
23,MySql DB,c2c-usw1-dev-reg-dm-rds-mysql-db.cleveog6mrob.us-west-1.rds.amazonaws.com:3306,,,,,
