Sr. No.,Component Name,EndPoint,Deployed Date,Deployed by,Version,Branch Name,ReleaseNotes URL
1,c2c_vehicle_operations_api,https://reg.c2c-demo-2.qualcomm.com/vehicle/swagger-ui.html,15th Dec 2021,Vivek,2.2.0-SNAPSHOT,release_sprint12_1.0,
2,c2c_device_operations_api,https://reg.c2c-demo-2.qualcomm.com/device-regional/swagger-ui.html,15th Dec 2021,Vivek,2.2.0-SNAPSHOT,release_sprint12_1.0,
3,c2c_dm_deviceprovisioningservice,https://reg.c2c-demo-2.qualcomm.com/device-provisioning-service/v1/swagger-ui.html,25th Nov 2021,Geo,1.5.0-SNAPSHOT_2111150910,,
4,c2c_dm_locationtelemetryservice,https://reg.c2c-demo-2.qualcomm.com/location-telemetry-service/v1/swagger-ui.html,25th Nov 2021,Geo,1.2.0-SNAPSHOT_2110060652,,
5,c2c_commcore_routeconfig_api,https://reg.c2c-demo-2.qualcomm.com/routeconfig/swagger-ui.html,25th Nov 2021,Geo,1.4.0-SNAPSHOT_2111151105,,
6,c2c_commcore_c2drequest_api,https://reg.c2c-demo-2.qualcomm.com/c2drequest/swagger-ui.html,25th Nov 2021,Geo,1.3.0-SNAPSHOT_2111151107,,
7,c2c_dm_devicerequestprocessor,https://reg.c2c-demo-2.qualcomm.com/device-request-processor/v1/swagger-ui.html,25th Nov 2021,Geo,1.5.0-SNAPSHOT_2111150911,,
8,c2c_dm_deviceregistrationservice-regional,https://reg.c2c-demo-2.qualcomm.com/device-registration-service/v1/swagger-ui.html,25th Nov 2021,Geo,1.3.0-SNAPSHOT_2110060757,,
9,c2c-dm-chipset-api,https://reg.c2c-demo-2.qualcomm.com/chipsetapi/swagger-ui.html,25th Nov 2021,Geo,0.3.0-SNAPSHOT_2111151109,,
10,c2c-dm-notificationservice,https://reg.c2c-demo-2.qualcomm.com/device-notification-service/swagger-ui.html,22nd Dec 2021,Silu,0.0.2-SNAPSHOT,release_sprint12_1.0,
11,c2c-license-management-system-api,https://reg.c2c-demo-2.qualcomm.com/api/doc,25th Nov 2021,Geo,1.0_2111151117,,
12,c2c-ota-service-api,https://reg.c2c-demo-2.qualcomm.com/ota-services/swagger-ui.html,25th Nov 2021,Geo,1.1.0-SNAPSHOT_2111181430,,
13,c2c-service-management-request-api-deployment,https://reg.c2c-demo-2.qualcomm.com/smp-request-api/swagger-ui.html,25th Nov 2021,Geo,0.0.1-SNAPSHOT_2110060658,,
14,smp_adapter_api,https://reg.c2c-demo-2.qualcomm.com/smp-adapter/swagger-ui.html,25th Nov 2021,Geo,0.0.1-SNAPSHOT_2111160607,,
15,c2c-resilience-service-api,https://reg.c2c-demo-2.qualcomm.com/resilience-service/swagger-ui.html,25th Nov 2021,Geo,0.1.0-SNAPSHOT_2111181538,,
16,c2c_service_management_ui,https://smp-ui.c2c-demo-2.qualcomm.com/,31st Dec 2021,Sanman,1.5.1,release_1.5.1,
17,c2c_license_management_c_api,https://reg.c2c-demo-2.qualcomm.com/lmsc/swagger-ui,10th Dec 2021,Silu,0.2.0-SNAPSHOT,release_sprint12_1.0,
18,c2c_license_management_q_api,https://reg.c2c-demo-2.qualcomm.com/lmsq/swagger-ui,10th Dec 2021,Silu,0.1.0-SNAPSHOT,release_sprint12_1.0,
19,c2c_command_control_api,https://reg.c2c-demo-2.qualcomm.com/command-service/swagger-ui.html,10th Dec 2021,Abhimanyu,0.1.0-SNAPSHOT,release_sprint11_1.0,
20,c2c_service_management_api,https://reg.c2c-demo-2.qualcomm.com/smp-server/swagger-ui,29th Dec 2021,Vivek/Sanman,1.5,release_1.5.1,
21,c2c_dm_telemetry_persistence_service,https://reg.c2c-demo-2.qualcomm.com/telemetry-persistence-service/v1/swagger-ui.html,10th Dec 2021,Silu,0.1.2-SNAPSHOT,release_sprint11_1.2,
22,c2c_dm_developer_dashboard,https://reg.c2c-demo-2.qualcomm.com/developer-dashboard,15th Dec 2021 , Vivek , , develop, 
23,c2c_dm_navigation_service,,22nd Dec 2021 ,Abdul,0.2.1-SNAPSHOT,release_sprint12_1.1,
,,,,,,,
,,,,,,,
1,IOT,a3hm0ngzhbm1e4-ats.iot.us-west-2.amazonaws.com,25th Nov 2021,,,,
,,,,,,,
1,MySQL DB,c2c-usw2-demo-reg-dm-rds-database-mysql-v2.cs6mqypzluxa.us-west-2.rds.amazonaws.com ,,,,,
2,PostgreSQL DB,c2c-usw2-demo-reg-dm-rds-database-psql.cs6mqypzluxa.us-west-2.rds.amazonaws.com ,,,,,
